ID,Year,Activity,Fuel,Type,Unit,kg CO2e,kg CO2,kg CH4,kg N2O
1,2020,Cars (by size),Diesel,Small car,km,  0.13721 ,  0.13537 ,  0.000003,  0.00184 
2,2020,Cars (by size),Diesel,Small car,miles,  0.22082 ,  0.21785 ,  0.00001 ,  0.00296 
3,2020,Cars (by size),Diesel,Medium car,km,  0.16637 ,  0.16453 ,  0.000003,  0.00184 
4,2020,Cars (by size),Diesel,Medium car,miles,  0.26775 ,  0.26478 ,  0.00001 ,  0.00296 
5,2020,Cars (by size),Diesel,Large car,km,  0.20419 ,  0.20235 ,  0.000003,  0.00184 
6,2020,Cars (by size),Diesel,Large car,miles,  0.32863 ,  0.32566 ,  0.00001 ,  0.00296 
7,2020,Cars (by size),Diesel,Average car,km,  0.16844 ,  0.1666  ,  0.000003,  0.00184 
8,2020,Cars (by size),Diesel,Average car,miles,  0.27108 ,  0.26811 ,  0.00001 ,  0.00296 
9,2020,Cars (by size),Petrol,Small car,km,  0.14836 ,  0.14769 ,  0.00031 ,  0.00036 
10,2020,Cars (by size),Petrol,Small car,miles,  0.23877 ,  0.23768 ,  0.0005  ,  0.00059 
11,2020,Cars (by size),Petrol,Medium car,km,  0.18659 ,  0.18592 ,  0.00031 ,  0.00036 
12,2020,Cars (by size),Petrol,Medium car,miles,  0.30029 ,  0.2992  ,  0.0005  ,  0.00059 
13,2020,Cars (by size),Petrol,Large car,km,  0.27807 ,  0.2774  ,  0.00031 ,  0.00036 
14,2020,Cars (by size),Petrol,Large car,miles,  0.44752 ,  0.44643 ,  0.0005  ,  0.00059 
15,2020,Cars (by size),Petrol,Average car,km,  0.1743  ,  0.17363 ,  0.00031 ,  0.00036 
16,2020,Cars (by size),Petrol,Average car,miles,  0.28052 ,  0.27943 ,  0.0005  ,  0.00059 
17,2020,Cars (by size),Hybrid,Small car,km,  0.10275 ,  0.10168 ,  0.0002  ,  0.00087 
18,2020,Cars (by size),Hybrid,Small car,miles,  0.16538 ,  0.16364 ,  0.00033 ,  0.00141 
19,2020,Cars (by size),Hybrid,Medium car,km,  0.10698 ,  0.10567 ,  0.00015 ,  0.00116 
20,2020,Cars (by size),Hybrid,Medium car,miles,  0.17216 ,  0.17007 ,  0.00023 ,  0.00186 
21,2020,Cars (by size),Hybrid,Large car,km,  0.1448  ,  0.14326 ,  0.00008 ,  0.00146 
22,2020,Cars (by size),Hybrid,Large car,miles,  0.23304 ,  0.23056 ,  0.00013 ,  0.00235 
23,2020,Cars (by size),Hybrid,Average car,km,  0.11558 ,  0.11433 ,  0.00016 ,  0.00109 
24,2020,Cars (by size),Hybrid,Average car,miles,  0.18601 ,  0.18399 ,  0.00026 ,  0.00176 
25,2020,Cars (by size),CNG,Small car,km,,,,
26,2020,Cars (by size),CNG,Small car,miles,,,,
27,2020,Cars (by size),CNG,Medium car,km,  0.15935 ,  0.15738 ,  0.00155 ,  0.00042 
28,2020,Cars (by size),CNG,Medium car,miles,  0.25645 ,  0.25328 ,  0.0025  ,  0.00067 
29,2020,Cars (by size),CNG,Large car,km,  0.2368  ,  0.23483 ,  0.00155 ,  0.00042 
30,2020,Cars (by size),CNG,Large car,miles,  0.38109 ,  0.37792 ,  0.0025  ,  0.00067 
31,2020,Cars (by size),CNG,Average car,km,  0.17621 ,  0.17424 ,  0.00155 ,  0.00042 
32,2020,Cars (by size),CNG,Average car,miles,  0.28359 ,  0.28042 ,  0.0025  ,  0.00067 
33,2020,Cars (by size),LPG,Small car,km,,,,
34,2020,Cars (by size),LPG,Small car,miles,,,,
35,2020,Cars (by size),LPG,Medium car,km,  0.17847 ,  0.178   ,  0.00005 ,  0.00042 
36,2020,Cars (by size),LPG,Medium car,miles,  0.28721 ,  0.28646 ,  0.00008 ,  0.00067 
37,2020,Cars (by size),LPG,Large car,km,  0.26606 ,  0.26559 ,  0.00005 ,  0.00042 
38,2020,Cars (by size),LPG,Large car,miles,  0.42817 ,  0.42742 ,  0.00008 ,  0.00067 
39,2020,Cars (by size),LPG,Average car,km,  0.19754 ,  0.19707 ,  0.00005 ,  0.00042 
40,2020,Cars (by size),LPG,Average car,miles,  0.3179  ,  0.31715 ,  0.00008 ,  0.00067 
41,2020,Cars (by size),Unknown,Small car,km,  0.14449 ,  0.14342 ,  0.0002  ,  0.00087 
42,2020,Cars (by size),Unknown,Small car,miles,  0.23254 ,  0.2308  ,  0.00033 ,  0.00141 
43,2020,Cars (by size),Unknown,Medium car,km,  0.17571 ,  0.1744  ,  0.00015 ,  0.00116 
44,2020,Cars (by size),Unknown,Medium car,miles,  0.28276 ,  0.28067 ,  0.00023 ,  0.00186 
45,2020,Cars (by size),Unknown,Large car,km,  0.22321 ,  0.22167 ,  0.00008 ,  0.00146 
46,2020,Cars (by size),Unknown,Large car,miles,  0.35923 ,  0.35675 ,  0.00013 ,  0.00235 
47,2020,Cars (by size),Unknown,Average car,km,  0.1714  ,  0.17015 ,  0.00016 ,  0.00109 
48,2020,Cars (by size),Unknown,Average car,miles,  0.27584 ,  0.27382 ,  0.00026 ,  0.00176 
49,2020,Cars (by size),Plug-in Hybrid Electric Vehicle,Small car,km,0.05860,0.05814,0.00018,0.00028
50,2020,Cars (by size),Plug-in Hybrid Electric Vehicle,Small car,miles,0.09431,0.09357,0.00029,0.00045
