ID,Year,Activity,Fuel,Type,Unit,kg CO2e,kg CO2,kg CH4,kg N2O
1,2020,Cars (by market segment),Diesel,Mini,km,  0.10837 ,  0.10653 ,  0.000003,  0.00184 
2,2020,Cars (by market segment),Diesel,Mini,miles,  0.17442 ,  0.17145 ,  0.00001 ,  0.00296 
3,2020,Cars (by market segment),Diesel,Supermini,km,  0.1308  ,  0.12896 ,  0.000003,  0.00184 
4,2020,Cars (by market segment),Diesel,Supermini,miles,  0.21051 ,  0.20754 ,  0.00001 ,  0.00296 
5,2020,Cars (by market segment),Diesel,Lower medium,km,  0.14197 ,  0.14013 ,  0.000003,  0.00184 
6,2020,Cars (by market segment),Diesel,Lower medium,miles,  0.22849 ,  0.22552 ,  0.00001 ,  0.00296 
7,2020,Cars (by market segment),Diesel,Upper medium,km,  0.16098 ,  0.15914 ,  0.000003,  0.00184 
8,2020,Cars (by market segment),Diesel,Upper medium,miles,  0.25907 ,  0.2561  ,  0.00001 ,  0.00296 
9,2020,Cars (by market segment),Diesel,Executive,km,  0.16735 ,  0.16551 ,  0.000003,  0.00184 
10,2020,Cars (by market segment),Diesel,Executive,miles,  0.26934 ,  0.26637 ,  0.00001 ,  0.00296 
11,2020,Cars (by market segment),Diesel,Luxury,km,  0.20198 ,  0.20014 ,  0.000003,  0.00184 
12,2020,Cars (by market segment),Diesel,Luxury,miles,  0.32506 ,  0.32209 ,  0.00001 ,  0.00296 
13,2020,Cars (by market segment),Diesel,Sports,km,  0.16996 ,  0.16812 ,  0.000003,  0.00184 
14,2020,Cars (by market segment),Diesel,Sports,miles,  0.27353 ,  0.27056 ,  0.00001 ,  0.00296 
15,2020,Cars (by market segment),Diesel,Dual purpose 4X4,km,  0.19141 ,  0.18957 ,  0.000003,  0.00184 
16,2020,Cars (by market segment),Diesel,Dual purpose 4X4,miles,  0.30805 ,  0.30508 ,  0.00001 ,  0.00296 
17,2020,Cars (by market segment),Diesel,MPV,km,  0.17627 ,  0.17443 ,  0.000003,  0.00184 
