"ID,Year,Activity,RF,Haul,Class,Unit,kg CO2e,kg CO2,kg CH4,kg N2O"
"1,2020,Flights,TRUE,""Domestic, to/from UK"",Average passenger,passengerkm,  0.2443  ,  0.24298 ,  0.00011 ,  0.00121 "
"2,2020,Flights,TRUE,""Short-haul, to/from UK"",Average passenger,passengerkm,  0.15553 ,  0.15475 ,  0.00001 ,  0.00077 "
"3,2020,Flights,TRUE,""Short-haul, to/from UK"",Economy class,passengerkm,  0.15298 ,  0.15221 ,  0.00001 ,  0.00076 "
"4,2020,Flights,TRUE,""Short-haul, to/from UK"",Business class,passengerkm,  0.22947 ,  0.22832 ,  0.00001 ,  0.00114 "
"5,2020,Flights,TRUE,""Long-haul, to/from UK"",Average passenger,passengerkm,  0.19085 ,  0.18989  ,  0.00001 ,  0.00095 "
"6,2020,Flights,TRUE,""Long-haul, to/from UK"",Economy class,passengerkm,  0.14615 ,  0.14542 ,  0.00001 ,  0.00072 "
"7,2020,Flights,TRUE,""Long-haul, to/from UK"",Premium economy class,passengerkm,  0.23385 ,  0.23268 ,  0.00001 ,  0.00116 "
"8,2020,Flights,TRUE,""Long-haul, to/from UK"",Business class,passengerkm,  0.42385 ,  0.42173 ,  0.00002 ,  0.0021  "
"9,2020,Flights,TRUE,""Long-haul, to/from UK"",First class,passengerkm,  0.58462 ,  0.5817  ,  0.00002 ,  0.0029  "
"10,2020,Flights,TRUE,""International, to/from non-UK"",Average passenger,passengerkm,  0.18181 ,  0.1809  ,  0.00001 ,  0.0009  "
"11,2020,Flights,TRUE,""International, to/from non-UK"",Economy class,passengerkm,  0.139245,  0.13855 ,  0.000005,  0.00069 "
"12,2020,Flights,TRUE,""International, to/from non-UK"",Premium economy class,passengerkm,  0.22278 ,  0.22167 ,  0.00001 ,  0.0011  "
"13,2020,Flights,TRUE,""International, to/from non-UK"",Business class,passengerkm,  0.40379 ,  0.40177 ,  0.00002 ,  0.002   "
"14,2020,Flights,TRUE,""International, to/from non-UK"",First class,passengerkm,  0.55695 ,  0.55417 ,  0.00002 ,  0.00276 "
"15,2020,Flights,FALSE,""Domestic, to/from UK"",Average passenger,passengerkm,  0.1292  ,  0.12788 ,  0.00011 ,  0.00121 "
"16,2020,Flights,FALSE,""Short-haul, to/from UK"",Average passenger,passengerkm,  0.08223 ,  0.08145 ,  0.00001 ,  0.00077 "
"17,2020,Flights,FALSE,""Short-haul, to/from UK"",Economy class,passengerkm,  0.08088 ,  0.08011 ,  0.00001 ,  0.00076 "
"18,2020,Flights,FALSE,""Short-haul, to/from UK"",Business class,passengerkm,  0.12132 ,  0.12017 ,  0.00001 ,  0.00114 "
"19,2020,Flights,FALSE,""Long-haul, to/from UK"",Average passenger,passengerkm,  0.1009  ,  0.09994 ,  0.00001 ,  0.00095 "
"20,2020,Flights,FALSE,""Long-haul, to/from UK"",Economy class,passengerkm,  0.07727 ,  0.07654 ,  0.00001 ,  0.00072 "
"21,2020,Flights,FALSE,""Long-haul, to/from UK"",Premium economy class,passengerkm,  0.12363 ,  0.12246 ,  0.00001 ,  0.00116 "
"22,2020,Flights,FALSE,""Long-haul, to/from UK"",Business class,passengerkm,  0.22408 ,  0.22196 ,  0.00002 ,  0.0021  "
"23,2020,Flights,FALSE,""Long-haul, to/from UK"",First class,passengerkm,  0.30908 ,  0.30616 ,  0.00002 ,  0.0029  "
"24,2020,Flights,FALSE,""International, to/from non-UK"",Average passenger,passengerkm,  0.09612 ,  0.09521 ,  0.00001 ,  0.0009  "
"25,2020,Flights,FALSE,""International, to/from non-UK"",Economy class,passengerkm,  0.073615,  0.07292 ,  0.000005,  0.00069 "
"26,2020,Flights,FALSE,""International, to/from non-UK"",Premium economy class,passengerkm,  0.11778 ,  0.11667 ,  0.00001 ,  0.0011  "
"27,2020,Flights,FALSE,""International, to/from non-UK"",Business class,passengerkm,  0.21348 ,  0.21146 ,  0.00002 ,  0.002   "
"28,2020,Flights,FALSE,""International, to/from non-UK"",First class,passengerkm,  0.29445 ,  0.29167 ,  0.00002 ,  0.00276 "
